month,cov,ks_conf,mean_conf,est_cov,set_size,frac_single,emb_shift,pred_entropy
2018-01,0.9216666666666666,0.05416666666666667,0.8054738589364111,0.8967355748162827,1.295,0.715,0.09456603,0.5707701590052306
2018-02,0.8966666666666666,0.06263888888888888,0.7803727093772036,0.8709784420800282,1.2966666666666666,0.7233333333333334,0.05638582,0.656889886901753
2018-03,0.8916666666666667,0.029444444444444443,0.8021776999655528,0.8843011612834516,1.2633333333333334,0.7466666666666667,0.042394888,0.5916119993278264
2018-04,0.9166666666666666,0.057916666666666665,0.8062174210359399,0.8910772116677557,1.2766666666666666,0.7416666666666667,0.047580436,0.575799028927007
2018-05,0.9066666666666666,0.029166666666666667,0.7940941535764966,0.8765608145842047,1.2733333333333334,0.7366666666666667,0.042190805,0.6219515247474002
2018-06,0.9,0.015277777777777777,0.7967175319516633,0.8838547313279131,1.28,0.7316666666666667,0.0464016,0.606522699803341
2018-07,0.915,0.05305555555555556,0.8184440142564618,0.8948977062471011,1.2466666666666666,0.7666666666666667,0.042830057,0.5538653312925956
2018-08,0.9216666666666666,0.044444444444444446,0.8025445687253634,0.8867216109402509,1.2766666666666666,0.75,0.054578964,0.592433943352597
2018-09,0.8883333333333333,0.04041666666666666,0.8045623976787963,0.8874572490721194,1.2733333333333334,0.7433333333333333,0.052817285,0.5881314239896636
2018-10,0.8683333333333333,0.07138888888888889,0.781714631348342,0.8678276130549322,1.2833333333333334,0.73,0.051859677,0.6610819887027474
2018-11,0.8716666666666667,0.04833333333333333,0.7911320165638972,0.8731791862353507,1.2716666666666667,0.745,0.04657643,0.6330956909108577
2018-12,0.9033333333333333,0.03763888888888889,0.7896468403061404,0.8769655215839532,1.2933333333333332,0.7233333333333334,0.0479927,0.635677233856437
2019-01,0.87,0.02361111111111111,0.7960669539376009,0.8815660597354855,1.2816666666666667,0.7333333333333333,0.05823492,0.6096793502514355
2019-02,0.87,0.02875,0.7965525093981589,0.8750589898546264,1.26,0.7516666666666667,0.040943887,0.6201516678798782
2019-03,0.9083333333333333,0.03847222222222222,0.7911393227673054,0.878804865818145,1.2916666666666667,0.7216666666666667,0.055561744,0.6251923060667777
2019-04,0.8916666666666667,0.03138888888888889,0.7993901849025751,0.8847664181621587,1.2866666666666666,0.73,0.05415462,0.6025001822083386
2019-05,0.8733333333333333,0.024722222222222222,0.7950028227343691,0.8790506534285089,1.2733333333333334,0.74,0.053567734,0.6158535485744687
2019-06,0.8683333333333333,0.04611111111111111,0.7858968853140673,0.8726577177989269,1.285,0.7333333333333333,0.08188728,0.6451946805148997
2019-07,0.895,0.04013888888888889,0.7911340581057515,0.8761928983345882,1.2866666666666666,0.735,0.05099453,0.6321501045529565
2019-08,0.9183333333333333,0.03666666666666667,0.7917767262512663,0.8834439394648956,1.295,0.7216666666666667,0.0702145,0.6167960794611386
2019-09,0.8766666666666667,0.06152777777777778,0.7770058662663979,0.8723663535250531,1.32,0.7066666666666667,0.081718914,0.6555502109093608
2019-10,0.88,0.06763888888888889,0.7725803942034588,0.8661185033424719,1.31,0.705,0.057042077,0.6741401776805258
2019-11,0.895,0.06277777777777778,0.7820292651590907,0.8803150713080011,1.3316666666666668,0.69,0.078019276,0.6469373312472261
2019-12,0.88,0.07388888888888889,0.7751472900254318,0.8716139033731156,1.3133333333333332,0.7033333333333334,0.045515902,0.66698039543409
2020-01,0.86,0.07527777777777778,0.7802108885335203,0.8736353110376456,1.31,0.7033333333333334,0.048595577,0.6569287091568232
2020-02,0.8783333333333333,0.1,0.7586549895846023,0.8603391313254712,1.33,0.6933333333333334,0.06874474,0.7112228270871193
2020-03,0.8983333333333333,0.025694444444444443,0.8004451228036217,0.8854441627963587,1.2716666666666667,0.7383333333333333,0.08738176,0.5986634204533633
2020-04,0.8983333333333333,0.024166666666666666,0.7943199245431365,0.8782102134146006,1.2766666666666666,0.7366666666666667,0.077075794,0.6213392466727247
2020-05,0.8883333333333333,0.042222222222222223,0.787644161193251,0.8758329749572067,1.3,0.7233333333333334,0.063423306,0.6393209731293621
2020-06,0.8983333333333333,0.08319444444444445,0.7761514854426769,0.8687734062568664,1.2966666666666666,0.7166666666666667,0.09684058,0.6684288068504354
2020-07,0.8833333333333333,0.04694444444444444,0.7877746805907463,0.8671451291105332,1.2533333333333334,0.7583333333333333,0.07075688,0.6392305858071369
2020-08,0.8816666666666667,0.05555555555555555,0.7814695341627991,0.873270583264651,1.3033333333333332,0.7133333333333334,0.07045136,0.6504667199919968
2020-09,0.8966666666666666,0.04833333333333333,0.7807969210869283,0.8762589791355564,1.3033333333333332,0.7166666666666667,0.07454403,0.6480620418606758
2020-10,0.9016666666666666,0.01888888888888889,0.7952937926951633,0.8773177752430883,1.2733333333333334,0.7483333333333333,0.10057418,0.6222800426160965
2020-11,0.8916666666666667,0.07583333333333334,0.769182705335481,0.8700833829009593,1.3366666666666667,0.6783333333333333,0.08515689,0.678206597970038
2020-12,0.9033333333333333,0.1063888888888889,0.7645220200978389,0.8632212346483186,1.3333333333333333,0.6883333333333334,0.0747029,0.6995087306743327
2021-01,0.8933333333333333,0.06666666666666667,0.7752691571963938,0.8674293365000506,1.3083333333333333,0.71,0.076293185,0.6753436549923962
